ReceiptId,LoanId,TransactionType,PaymentMode,TransactionAmount,NPA
443906,#!?%%@,Disbursement,ADJUST OUT,129850.00,True
443906,#!?%%@,Disbursement,CASH,129850.00,True
443936,#!?%%+,Disbursement,CASH,20000.00,True
443951,#!?%&#,Disbursement,CASH,20000.00,True
443953,#!?%&%,Disbursement,ADJUST OUT,55530.00,True
443953,#!?%&%,Disbursement,CASH,55530.00,True
443967,#!?%&!,Disbursement,CASH,8000.00,True
443981,#!?%*$,Disbursement,BANK,17970.00,True
443993,#!?%**,Disbursement,CASH,10000.00,True
444036,#!?%+&,Disbursement,ADJUST OUT,27204.00,True
444036,#!?%+&,Disbursement,CASH,27204.00,True
444041,#!?%+*,Disbursement,CASH,22970.00,True
444041,#!?%+*,Disbursement,BANK,22970.00,True
444047,#!?%++,Disbursement,CASH,20000.00,True
444048,#!?%+=,Disbursement,CASH,15000.00,True
444052,#!?%+?,Disbursement,CASH,154850.00,True
444052,#!?%+?,Disbursement,ADJUST OUT,154850.00,True
444053,#!?%+!,Disbursement,CASH,24950.00,True
444053,#!?%+!,Disbursement,BANK,24950.00,True
444058,#!?%=@,Disbursement,BANK,69930.00,True
444062,#!?%=%,Disbursement,ADJUST OUT,35000.00,True
444068,#!?%=*,Disbursement,CASH,10000.00,True
444070,#!?%=+,Disbursement,CASH,45000.00,True
444070,#!?%=+,Disbursement,BANK,45000.00,True
444075,#!?%?@,Disbursement,BANK,49930.00,True
444075,#!?%?@,Disbursement,CASH,49930.00,True
444110,#!?%?+,Disbursement,BANK,27950.00,True
444110,#!?%?+,Disbursement,CASH,27950.00,True
444116,#!?%?=,Disbursement,CASH,10500.00,True
444118,#!?%?!,Disbursement,ADJUST OUT,103500.00,True
444119,#!?%!@,Disbursement,CASH,170000.00,True
444119,#!?%!@,Disbursement,BANK,170000.00,True
444121,#!?%!#,Disbursement,CASH,15000.00,True
444122,#!?%!$,Disbursement,CASH,15000.00,True
444125,#!?%!%,Disbursement,CASH,28500.00,True
444125,#!?%!%,Disbursement,BANK,28500.00,True
444128,#!?%!+,Disbursement,CASH,15500.00,True
444132,#!?%!!,Disbursement,CASH,2380.00,True
444136,#!?&@@,Disbursement,CASH,70930.00,True
444136,#!?&@@,Disbursement,BANK,70930.00,True
